FileName,Label,Format
Cov-Atlas+(44)V,covid,jpg
Cov-Atlas+(45)V,covid,jpg
Cov-Atlas-+(43)V,covid,jpg
Cov-Atlas-Day+1V,covid,jpg
Cov-Atlas-Day+2V,covid,jpg
Cov-Atlas-Day+3V,covid,jpg
Cov-Atlas-Day+4V,covid,jpg
Cov-Atlas-suspectedCovidV,covid,jpg
Cov_combatting_Image1V,covid,jpg
Cov_combatting_Image2V,covid,jpg
Cov_combatting_Image3V,covid,jpg
Cov_combatting_image4V,covid,jpg
Cov_combatting_Image5V,covid,jpg
Cov_convex_volpecelli_sonographic_v1V,covid,jpg
Cov_convex_volpecelli_sonographic_v2V,covid,jpg
Cov_convex_volpecelli_sonographic_v3V,covid,jpg
Cov_convex_volpecelli_sonographic_v4V,covid,jpg
Cov_convex_volpecelli_sonographic_v5V,covid,jpg
Cov_denault_proposedUS_vid10V,covid,jpg
Cov_denault_proposedUS_vid11V,covid,jpg
Cov_denault_proposedUS_vid12V,covid,jpg
Cov_denault_proposedUS_vid13V,covid,jpg
Cov_denault_proposedUS_vid14V,covid,jpg
Cov_denault_proposedUS_vid1V,covid,jpg
Cov_denault_proposedUS_vid2V,covid,jpg
Cov_denault_proposedUS_vid5V,covid,jpg
Cov_emdocs_vid1V,covid,jpg
Cov_emdocs_vid3V,covid,jpg
Cov_Oliviera_2020_Fig15A,covid,jpg
Cov_Oliviera_2020_Fig4A,covid,jpg
Cov_Oliviera_2020_Fig5A,covid,jpg
Cov_recommendations_lightbeam_mov6V,covid,jpg
Cov_recommendations_likebutterfly_mov5V,covid,jpg
Cov_severe_acutemedicine,covid,png
Cov_unsmooth_pleuralline_prelim_study_SSRN_paper2,covid,png
Pneu-Atlas-pneumonia2V,pneumonia,jpg
Pneu-Atlas-pneumoniaV,pneumonia,jpg
pneu-radiopaedaV,pneumonia,jpg
Pneu_Avi_B-lines-hyperechoic-effusion-consolidated-lung,pneumonia,JPG
Pneu_Avi_consolidated-lung-effusion-shred-sign,pneumonia,JPG
Pneu_Avi_consolidated-lung,pneumonia,JPG
Pneu_Avi_effusion-and-thickened-diaphragm,pneumonia,JPG
Pneu_Avi_hyperechoic-effusion,pneumonia,JPG
Pneu_Avi_large-anaechoic-effusion-with-atelectatic-lung,pneumonia,jpg
Pneu_Avi_plerual-effusion-consolidated-lung,pneumonia,JPG
Pneu_Avi_Small-effusion-pleural-line,pneumonia,jpg
Pneu_Avi_small-effusionA-line,pneumonia,JPG
Pneu_Avi_subpleural-consolidation,pneumonia,JPG
Pneu_Avi_Video_001V,pneumonia,jpg
